Tinh,PhanLoaiTinh
TP. Hà Nội,Đặc biệt
Hà Giang,II
Cao Bằng,II
Bắc Kạn,III
Tuyên Quang,III
Lào Cai,II
Điện Biên,II
Lai Châu,II
Sơn La,I
Yên Bái,II
Hoà Bình,II
Thái Nguyên,II
Lạng Sơn,II
Quảng Ninh,II
Bắc Giang,II
Phú Thọ,II
Vĩnh Phúc,III
Bắc Ninh,III
Hải Dương,II
TP. Hải Phòng,I
Hưng Yên,III
Thái Bình,II
Hà Nam,III
Nam Định,II
Ninh Bình,III
Thanh Hóa,I
Nghệ An,I
Hà Tĩnh,II
Quảng Bình,II
Quảng Trị,III
Thừa Thiên Huế,II
TP. Đà Nẵng,I
Quảng Nam,II
Quảng Ngãi,II
Bình Định,II
Phú Yên,II
Khánh Hòa,II
Ninh Thuận,III
Bình Thuận,II
Kon Tum,II
Gia Lai,I
Đắk Lắk,I
Đắk Nông,III
Lâm Đồng,II
Bình Phước,II
Tây Ninh,II
Bình Dương,II
Đồng Nai,I
Bà Rịa - Vũng Tàu,II
TP. Hồ Chí Minh,Đặc biệt
Long An,II
Tiền Giang,II
Bến Tre,III
Trà Vinh,III
Vĩnh Long,III
Đồng Tháp,II
An Giang,II
Kiên Giang,II
TP. Cần Thơ,I
Hậu Giang,III
Sóc Trăng,II
Bạc Liêu,III
Cà Mau,II
